mature_acc	terms
MIMAT0000682-0	hsa-mir-200a-3p;hsa-mir-200a
MIMAT0000682-1	hsa-mir-200a
MIMAT0000683-0	hsa-mir-302a-5p;hsa-mir-302a*
MIMAT0000683-2	hsa-mir-302a;hsa-mir-302
MIMAT0000684-0	hsa-mir-302a-3p;hsa-mir-302a
MIMAT0000684-1	hsa-mir-302a;hsa-mir-302
MIMAT0000685-0	hsa-mir-34b-5p;hsa-mir-34b;hsa-mir-34b*
MIMAT0000685-2	hsa-mir-34b
MIMAT0000686-0	hsa-mir-34c-5p;hsa-mir-34c
MIMAT0000686-1	hsa-mir-34c
MIMAT0000687-0	hsa-mir-299-3p;hsa-mir-299;hsa-mir-299-5p
MIMAT0000687-2	hsa-mir-299
MIMAT0000688-0	hsa-mir-301a-3p;hsa-mir-301;hsa-mir-301a
MIMAT0000688-2	hsa-mir-301a;hsa-mir-301
MIMAT0000689-0	hsa-mir-99b-5p;hsa-mir-99b
MIMAT0000689-1	hsa-mir-99b
MIMAT0000690-0	hsa-mir-296-5p;hsa-mir-296
MIMAT0000690-1	hsa-mir-296
MIMAT0000691-0	hsa-mir-130b-3p;hsa-mir-130b
MIMAT0000691-1	hsa-mir-130b
MIMAT0000692-0	hsa-mir-30e-5p;hsa-mir-30e-5p;hsa-mir-30e
MIMAT0000692-1	hsa-mir-30e
MIMAT0000693-0	hsa-mir-30e-3p;hsa-mir-30e-3p;hsa-mir-30e*
MIMAT0000693-2	hsa-mir-30e
MIMAT0000703-0	hsa-mir-361-5p;hsa-mir-361
MIMAT0000703-2	hsa-mir-361
MIMAT0000705-0	hsa-mir-362-5p;hsa-mir-362
MIMAT0000705-2	hsa-mir-362
MIMAT0000707-0	hsa-mir-363-3p;hsa-mir-363
MIMAT0000707-1	hsa-mir-363
MIMAT0000710-0	hsa-mir-365a-3p;hsa-mir-365
MIMAT0000710-2	hsa-mir-365a;hsa-mir-365-1
MIMAT0000714-0	hsa-mir-302b-5p;hsa-mir-302b*
MIMAT0000714-2	hsa-mir-302b
